Student ID,Full Name,Arabic Name,Gender,Date of Birth,Nationality,ID Type,National ID,Iqama Number,Passport Number,Religion,Birth Place,Division,Grade,Section,Academic Year,Roll No.,Enrollment Type,Study Mode,Fee Category,Admission Date,Active,Father Name,Mother Name,Guardian Phone,Guardian Email,Address
,Emma Sheikh,إيما شيخ,Female,2019-01-20,Egypt,Iqama,,2950185630,,Muslim,Amman,AMERICAN,KG2,A,2024-25,001,Transfer,Regular Mode,Transfer,2022-09-01,Yes,Zayn Sheikh,Aisha Sheikh,+966597622849,emma.sheikh1@parent.com,"248 Al-Nuzha Street, Jeddah"
,Saanvi Habib,سانفي حبيب,Female,2020-07-14,Jordan,Iqama,,2898109456,,Muslim,Karachi,AMERICAN,Grade 1,A,2024-25,002,New Student,Regular Mode,New,2023-09-01,Yes,David Habib,Maya Habib,+966511039828,saanvi.habib2@parent.com,"149 Al-Nuzha Street, Jeddah"
,Ahmed Malik,أحمد مالك,Male,2019-09-06,Philippines,Passport,,,CN9382024,Non-Muslim,Khartoum,AMERICAN,Grade 2,A,2024-25,003,New Student,Regular Mode,New,2023-09-01,Yes,John Malik,Aisha Malik,+966556126866,ahmed.malik3@parent.com,"240 Al-Nuzha Street, Jeddah"
,Layla Al-Yamani,ليلى اليماني,Female,2018-09-25,Saudi Arabia,National ID,1519414127,,,Muslim,Buraidah,AMERICAN,Grade 3,A,2024-25,004,Regular (Continuing),Online Mode,Regular,2025-09-01,Yes,Naif Al-Yamani,Reem Al-Yamani,+966576975052,layla.alyamani4@parent.com,"155 Al-Nuzha Street, Jeddah"
,Yusuf Saleh,يوسف صالح,Male,2017-06-21,Philippines,Iqama,,2926885422,,Muslim,Cairo,AMERICAN,Grade 4,A,2024-25,005,Transfer,Online Mode,Transfer,2024-09-01,Yes,James Saleh,Saanvi Saleh,+966523642054,yusuf.saleh5@parent.com,"151 Al-Nuzha Street, Jeddah"
,Ghada Al-Sudais,غادة السديس,Female,2016-07-27,Saudi Arabia,National ID,1257714342,,,Muslim,Buraidah,AMERICAN,Grade 5,A,2024-25,006,Regular (Continuing),Online Mode,Regular,2025-09-01,Yes,Bandar Al-Sudais,Mariam Al-Sudais,+966576261912,ghada.alsudais6@parent.com,"100 Al-Nuzha Street, Jeddah"
,Riya Smith,ريا سميث,Female,2015-11-17,Syria,Passport,,,GB5476417,Muslim,Cairo,AMERICAN,Grade 6,A,2024-25,007,Regular (Continuing),Seasonal Mode,Regular,2022-09-01,Yes,Aryan Smith,Nayla Smith,+966562028038,riya.smith7@parent.com,"78 Al-Nuzha Street, Jeddah"
,Dana Al-Mutairi,دانا المطيري,Female,2014-09-04,Saudi Arabia,National ID,1498526321,,,Muslim,Riyadh,AMERICAN,Grade 7,A,2024-25,008,Regular (Continuing),Regular Mode,Regular,2023-09-01,Yes,Salman Al-Mutairi,Latifa Al-Mutairi,+966583316369,dana.almutairi8@parent.com,"182 Al-Nuzha Street, Jeddah"
,Naif Al-Mutairi,نايف المطيري,Male,2013-01-01,Saudi Arabia,National ID,1820811641,,,Non-Muslim,Khobar,AMERICAN,Grade 8,A,2024-25,009,New Student,Online Mode,New,2025-09-01,Yes,Yousef Al-Mutairi,Lama Al-Mutairi,+966553277730,naif.almutairi9@parent.com,"210 Al-Nuzha Street, Jeddah"
,Zain Kumar,زين كومار,Male,2012-09-10,Syria,Iqama,,2008649512,,Muslim,Mumbai,AMERICAN,Grade 9,A,2024-25,010,Transfer,Online Mode,Transfer,2023-09-01,Yes,Mustafa Kumar,Nayla Kumar,+966599171265,zain.kumar10@parent.com,"157 Al-Nuzha Street, Jeddah"
